出表日期,年度,季別,公司代號,公司名稱,流動資產,非流動資產,資產總計,流動負債,非流動負債,負債總計,股本,資本公積,保留盈餘,其他權益,庫藏股票,歸屬於母公司業主之權益合計,共同控制下前手權益,合併前非屬共同控制股權,非控制權益,權益總計,待註銷股本股數（單位：股）,預收股款（權益項下）之約當發行股數（單位：股）,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,每股參考淨值
"109/03/07","108","1","8112","至上","23247455.00","2665823.00","25913278.00","13019941.00","4277593.00","17297534.00","3784965.00","1865982.00","2990708.00","-552446.00","-54492.00","8034717.00","--","--","581027.00","8615744.00","--","0.00","1935000.00","21.34"
"109/03/07","108","1","8114","振樺電","5817602.00","8576083.00","14393685.00","4648253.00","6489716.00","11137969.00","749218.00","719471.00","1714180.00","-80426.00","--","3102443.00","--","--","153273.00","3255716.00","--","0.00","0.00","41.41"
"109/03/07","108","1","8131","福懋科","6894114.00","6599457.00","13493571.00","1094878.00","610569.00","1705447.00","4422222.00","2411190.00","4649235.00","305477.00","--","--","--","--","--","11788124.00","0.00","0.00","0.00","26.66"
"109/03/07","108","1","8150","南茂","11619462.00","21904272.00","33523734.00","4525329.00","10688087.00","15213416.00","7528347.00","6280712.00","5298262.00","165500.00","-962503.00","18310318.00","--","--","--","18310318.00","0.00","0.00","25569937.00","25.18"
"109/03/07","108","1","8163","達方","11321007.00","6744782.00","18065789.00","7585395.00","734466.00","8319861.00","2800000.00","3802120.00","2870534.00","-276739.00","--","9195915.00","--","--","550013.00","9745928.00","0.00","0.00","0.00","32.84"
"109/03/07","108","1","8201","無敵","722426.00","375093.00","1097519.00","273488.00","100422.00","373910.00","623663.00","198959.00","-33836.00","-65177.00","--","723609.00","--","--","--","723609.00","--","0.00","0.00","11.60"
"109/03/07","108","1","8210","勤誠","3774899.00","2109768.00","5884667.00","2263880.00","216176.00","2480056.00","1197260.00","48209.00","2253368.00","-94226.00","--","3404611.00","--","--","--","3404611.00","0.00","0.00","0.00","28.44"
"109/03/07","108","1","8213","志超","19636327.00","9667645.00","29303972.00","13291056.00","3824055.00","17115111.00","2712429.00","3127351.00","6404099.00","-276264.00","-351498.00","11616117.00","--","--","572744.00","12188861.00","0.00","0.00","10605436.00","44.57"
"109/03/07","108","1","8215","明基材","4782178.00","5889751.00","10671929.00","4079014.00","2311473.00","6390487.00","3206745.00","2736.00","961466.00","52804.00","--","4223751.00","--","--","57691.00","4281442.00","0.00","0.00","0.00","13.17"
"109/03/07","108","1","8222","寶一","861061.00","675465.00","1536526.00","400049.00","211731.00","611780.00","685468.00","53177.00","186101.00","0.00","--","--","--","--","--","924746.00","0.00","0.00","0.00","13.49"
